Molecule.ChEMBL.ID,Smiles,Standard.Type,Standard.Relation,Standard.Value,Standard.Units,Molecular.Weight,AlogP
CHEMBL202996,Oc1ccc(-c2coc3cc(O)cc(O)c3c2=S)cc1,IC50,'=',1340,nM,286.31,3.95
CHEMBL3264932,CCn1c(CCCc2ccc(-c3ccc(NS(=O)(=O)c4ccccc4)cn3)cc2)nn(Cc2ccc(C(C)(C)C)cc2)c1=O,IC50,'=',15200,nM,609.8,6.45
CHEMBL196583,Oc1ccc(-c2ccc3c(Br)c(O)ccc3n2)cc1,IC50,'=',88,nM,316.15,4.08
CHEMBL198410,Oc1ccc2nc(-c3ccc(O)c(F)c3)cc(Cl)c2c1,IC50,'=',5.3,nM,289.69,4.11
CHEMBL198445,C#Cc1cc(-c2ccc(O)c(F)c2)nc2ccc(O)cc12,IC50,'=',27,nM,279.27,3.43
CHEMBL3234612,Oc1ccc(C(=Nc2ccccc2)c2ccc(O)cc2)cc1,IC50,'=',13,nM,289.33,4.27
CHEMBL3234624,Oc1ccc(N=C(c2ccc(O)cc2)c2ccc(O)cc2)cc1,IC50,'=',300,nM,305.33,3.97
CHEMBL3234627,Cc1ccccc1/N=C(\c1ccc(O)cc1)c1ccc(O)cc1O,IC50,'=',16,nM,319.36,4.28
CHEMBL3234630,Oc1ccc(/C(=N\c2ccccc2Cl)c2ccc(O)cc2O)cc1,IC50,'=',6,nM,339.78,4.63
CHEMBL218220,Oc1ccc(-c2nn3c(C(F)(F)F)cc(C(F)(F)F)nc3c2-c2ccc(OCCN3CCCCC3)cc2)cc1,IC50,'=',40,nM,550.5,6.67
CHEMBL3234622,Oc1ccc(C(=Nc2ccc(Br)cc2)c2ccc(O)cc2)cc1,IC50,'=',6,nM,368.23,5.03
CHEMBL78567,O=c1c2oc3c(Br)cc(O)cc3c2oc2cc(O)cc(O)c12,IC50,'=',343,nM,363.12,3.57
CHEMBL92900,Oc1ccc2c(c1)CCN(Cc1ccc3c(c1)OCO3)C2c1ccc(OCCN2CCCC2)cc1,IC50,'=',220,nM,472.59,4.74
CHEMBL511269,COc1ccc2c(c1)OCCC(c1ccc(O)cc1)=C2c1ccc(OCCN2CCC2)cc1,IC50,'=',4.61,nM,443.54,5.23
CHEMBL340606,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(N3CCCNCC3)cc2)cc1,IC50,'=',161,nM,434.56,4.86
CHEMBL212391,CC[C@@]12CCC(=O)C(C(F)(F)F)=C1c1ccc3[nH]nnc3c1C2,IC50,'=',11,nM,321.3,3.59
CHEMBL213051,CCCCC1=C2c3ccc4[nH]nnc4c3CC2(CC)CCC1=O,IC50,'=',43,nM,309.41,4.22
CHEMBL384268,CCCC[C@@]12CCC(=O)C(C(F)(F)F)=C1c1ccc3[nH]nc(F)c3c1C2,IC50,'=',1,nM,366.36,5.11
CHEMBL424725,O=C1CCC2(Cc3ccccc3)Cc3c(ccc4[nH]ncc34)C2=C1c1ccc(OCCN2CCCCC2)cc1,IC50,'=',130,nM,517.67,6.49
CHEMBL209530,O=C1CCC2(Cc3ccc(Cl)cc3)Cc3cc(O)ccc3C2=C1c1ccc(OCCN2CCCCC2)cc1,IC50,'=',2200,nM,528.09,6.97
CHEMBL384708,CC[C@H]1CC[C@@H]2C[C@]13Cc1cc(O)ccc1C3=C(C)C2=O,IC50,'=',45,nM,282.38,4.12
CHEMBL1507981,C=CCn1c(COc2ccccc2F)nnc1SCC(=O)NC(=O)NCc1ccco1,IC50,'=',3269.47,nM,445.48,2.89
CHEMBL1367450,COc1ccc(C2CC(=O)Nc3ccccc3S2(=O)=O)cc1OC,IC50,'=',16143.89,nM,347.39,2.56
CHEMBL496881,CCCC[C@@H]1C[C@H]1[C@@H](NC(=O)c1ccccc1)c1ccc(-c2ccc(O)cc2)cc1F,IC50,'=',2048,nM,417.52,6.5
CHEMBL195311,Oc1ccc(-c2ccc3cc(O)ccc3c2)c(Cl)c1,IC50,'=',1.4,nM,270.71,4.57
CHEMBL206218,Cc1cc2c(=O)oc3c(C)c(O)ccc3c2c(C)c1Br,IC50,'=',57,nM,333.18,4.34
CHEMBL4636096,N#CC1=C(N)Oc2cc(O)ccc2C1c1ccc(OCCN2CCCCC2)cc1,IC50,'=',10420,nM,391.47,3.48
CHEMBL1578407,CCOc1c(C(N)=O)c(-c2ccccc2)c2c(O)nc3ccccc3n12,IC50,'=',33560.13,nM,347.37,3.36
CHEMBL1083981,COC(=O)C(C)N1C(=O)S/C(=C/c2ccc(O)c(Cl)c2)C1=O,IC50,'=',49.7,nM,341.77,2.64
CHEMBL3589347,COC(=O)CCCCCCC(=O)Nc1ccc(OS(=O)(=O)C2CC3OC2C(c2ccc(O)cc2)=C3c2ccc(O)cc2)cc1,IC50,'=',330,nM,621.71,5.41
CHEMBL4209440,COC(=O)Cc1ccc(OCc2oc(-c3cccc(OC)c3)nc2C)cc1,IC50,'=',7400,nM,367.4,3.95
CHEMBL4202476,COC(=O)c1cccc(OCc2oc(-c3ccccc3OC)nc2C)c1,IC50,'=',23600,nM,353.37,4.02
CHEMBL1087041,Oc1ccc2c(c1)O[C@@H](c1cccc(OCCN3CCCCC3)c1)C1=C2CCOc2cc(O)ccc21,IC50,'=',200,nM,485.58,5.79
CHEMBL207101,Oc1cc(O)c2c(=S)n(-c3ccc(O)c(F)c3)cnc2c1,IC50,'=',102,nM,304.3,3.01
CHEMBL366928,O=C(c1ccc(N2CCN(C3CCCC3)CC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,IC50,'=',18.15,nM,498.65,6.28
CHEMBL362020,O=C(c1ccc(N2CCN(C(=O)c3ccc([N+](=O)[O-])cc3)CC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,IC50,'=',1.27,nM,579.63,6.08
CHEMBL426641,N#Cc1cc(-c2c(F)cc(O)cc2F)cc2ccc(O)cc12,IC50,'=',2.2,nM,297.26,4.07
CHEMBL195786,COc1c(O)ccc2cc(-c3ccc(O)cc3)ccc12,IC50,'=',114,nM,266.3,3.93
CHEMBL191716,Oc1ccc2cc(-c3cc(F)c(O)c(F)c3)ccc2c1,IC50,'=',8.4,nM,272.25,4.2
CHEMBL191300,Cc1cc(O)ccc1-c1ccc2c(Cl)c(O)ccc2c1,IC50,'=',13,nM,284.74,4.88
CHEMBL4209719,Cc1cccc(OS(=O)(=O)C2CC3OC2C(c2ccc(/C=C/c4cc(O)cc(O)c4)cc2)=C3c2ccc(O)cc2)c1,IC50,'=',3110,nM,568.65,6.14
CHEMBL264216,Oc1ccc2c(c1)sc1c3cc(O)ccc3n(Cc3ccc(OCCN4CCCCCC4)cc3)c21,IC50,'=',7.26,nM,486.64,6.72
CHEMBL362718,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CCSCC3)cc2)cc1,IC50,'=',72,nM,481.64,5.49
CHEMBL192326,O=C1C(c2ccc(O)cc2)=C(O)c2cc(O)cc(O)c21,IC50,'=',1380,nM,270.24,2.43
CHEMBL204056,Cc1cc(Br)c2c(c1)c(=O)oc1c(C)c(O)ccc12,IC50,'=',44,nM,319.15,4.03
CHEMBL362623,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CCCC3)cc2)cc1,IC50,'=',64,nM,449.57,5.54
CHEMBL192386,Oc1ccc(-c2cc(F)c3cc(O)ccc3c2)cc1,IC50,'=',1.6,nM,254.26,4.06
CHEMBL2113001,O=C(c1ccc(N2CCN(Cc3ccccc3)CC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,IC50,'=',5.53,nM,520.65,6.53
CHEMBL187115,COc1cc(O)c(C#N)c2cc(-c3ccc(O)cc3)oc12,IC50,'=',32,nM,281.27,3.39
CHEMBL184448,Oc1ccc(-c2cc3cc(O)cc(Cl)c3o2)cc1,IC50,'=',1.6,nM,260.68,4.16
CHEMBL33568,O=C1c2c(F)cc(O)cc2O[C@H](c2ccc(OCCN3CCCCC3)cc2)[C@@H]1c1ccc(O)cc1,IC50,'=',5390,nM,477.53,5.2
CHEMBL121978,CN1CCN(c2ccc([C@@H]3Oc4ccc(O)cc4S[C@@H]3c3ccc(O)cc3)cc2)CC1,IC50,'=',59,nM,434.56,4.82
CHEMBL33625,O/N=C1\c2ccc(O)cc2O[C@H](c2ccc(OCCN3CCCCC3)cc2)[C@@H]1c1ccc(O)cc1,IC50,'=',8610,nM,474.56,5.06
CHEMBL447837,Oc1ccc(-c2ccc3c(Cl)c(O)ccc3c2)c(F)c1,IC50,'=',1.2,nM,288.7,4.71
CHEMBL1628170,C[C@]12CC[C@@H]3c4ccc(O)cc4C[C@@H](Sc4ccc(/C=C/C(=O)O)cc4)[C@H]3[C@@H]1CC[C@@H]2O,IC50,'=',21,nM,450.6,5.48
CHEMBL384709,CCCC[C@@]12CCC(=O)C(C(F)(F)F)=C1c1ccc3[nH]nnc3c1C2,IC50,'=',3.2,nM,349.36,4.37
CHEMBL192390,N#Cc1cc(O)c(Cl)c2ccc(-c3ccc(O)c(F)c3)cc12,IC50,'=',2.6,nM,313.71,4.58
CHEMBL180146,C[C@@H]1c2c(ccc(O)c2F)O[C@@H](c2ccc(OCCN3CCCCC3)cc2)[C@H]1c1ccc(O)cc1,IC50,'=',18,nM,477.58,6.12
CHEMBL180176,O=C(c1ccc(N2CCN(c3ccc([N+](=O)[O-])cc3)CC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,IC50,'=',14.22,nM,551.62,6.45
CHEMBL193727,Oc1ccc2cc(-c3ccc(O)c(F)c3)ccc2c1,IC50,'=',5,nM,254.26,4.06
CHEMBL192260,Oc1cc(F)c(-c2ccc3c(Cl)c(O)ccc3c2)c(F)c1,IC50,'=',3.4,nM,306.69,4.85
CHEMBL377848,CCCC1=C2c3ccc4[nH]nnc4c3CC2(CCC)CCC1=O,IC50,'=',23,nM,309.41,4.22
CHEMBL1671971,COc1cc(/C=C2\SC(=O)NC2=O)ccc1Oc1ccc(C#N)cc1C(F)(F)F,IC50,'=',550,nM,420.37,4.7
CHEMBL2403361,CCCC(CCC)(c1ccc(O)cc1)c1ccc(O)cc1,IC50,'=',2200,nM,284.4,4.98
CHEMBL1782331,CCC(CC)(c1ccc(O)cc1)c1ccc(O)cc1,IC50,'=',93,nM,256.35,4.2
CHEMBL3589363,O=C(O)CCCCCCC(=O)Nc1ccc(C2=C(c3ccc(O)cc3)C3CC(S(=O)(=O)Oc4ccc(Br)cc4)C2O3)cc1,IC50,'=',250,nM,670.58,6.38
CHEMBL1390871,CCN1CCc2c(sc(N)c2C#N)C1,IC50,'=',6553.92,nM,207.3,1.58
CHEMBL1309624,O=C(c1ccc(CS(=O)(=O)c2ccccc2)o1)N1CCC2(CC1)OCCO2,IC50,'=',4053.64,nM,391.45,2.23
CHEMBL1536177,CC1CCCC(C)N1CC(=O)Nc1sc2c(c1C#N)CCC2,IC50,'=',22495.44,nM,317.46,3.31
CHEMBL510754,Oc1ccc(-c2nc3cc(O)cc(Br)c3o2)c(C(F)(F)F)c1,IC50,'=',1.4,nM,374.11,4.69
CHEMBL363705,Oc1ccc(-c2nc3cc(O)c(Br)cc3o2)cc1F,IC50,'=',42,nM,324.11,3.81
CHEMBL328675,Oc1ccc2c(c1)CCN(c1ccccc1)C2c1cccs1,IC50,'=',26.3,nM,307.42,4.61
CHEMBL306636,CCCC1Oc2cc(O)ccc2N=C1c1ccc(O)cc1,IC50,'=',320,nM,283.33,3.78
CHEMBL363412,Oc1ccc2c(c1)sc1c3ccccc3n(Cc3ccc(OCCN4CCCCC4)cc3)c21,IC50,'=',35,nM,456.61,6.63
CHEMBL33888,Oc1ccc([C@H]2[C@@H](c3ccc(OCCN4CCCCC4)cc3)Oc3cc(O)ccc3[C@@H]2O)cc1,IC50,'=',7000,nM,461.56,4.91
CHEMBL74027,CC1(C)Oc2cc(O)cc(O)c2N=C1c1ccc(O)c(Br)c1,IC50,'=',1700,nM,364.19,3.86
CHEMBL395308,O/N=C/c1ccc(-c2ccc(O)cc2)c2ccccc12,IC50,'=',5,nM,263.3,4.02
CHEMBL205398,O=c1c2c(O)cc(O)cc2ncn1-c1ccc(O)cc1,IC50,'=',179,nM,270.24,1.5
CHEMBL4643337,CCCCOC(=O)C1=C(N)Oc2cc(O)ccc2C1c1ccc(OCCN2CCCCC2)cc1,IC50,'=',2350,nM,466.58,4.29
CHEMBL1086644,Oc1ccc2c(c1)OC(c1ccc(OCCN3CCCCC3)cc1)C1=C2CCCOc2cc(O)ccc21,IC50,'=',77,nM,499.61,6.18
CHEMBL1589300,CCCSC1=N/C(=C\C=C\c2ccco2)C(=O)S1,IC50,'=',9705.86,nM,279.39,3.95
CHEMBL83451,Oc1ccc2c(c1)S[C@H](c1ccncc1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,IC50,'=',8202,nM,448.59,5.62
CHEMBL209402,CCCCC12CCC(=O)C(CCC)=C1c1ccc(O)cc1C2,IC50,'=',1.5,nM,298.43,5.04
CHEMBL381495,CCCCC12CCC(=O)C(C)=C1c1ccc(O)cc1C2,IC50,'=',16,nM,270.37,4.26
CHEMBL85090,Oc1ccc2c(c1)S[C@H](C1CCCCC1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,IC50,'=',16,nM,453.65,6.43
CHEMBL77794,Oc1ccc(C2=Nc3ccc(O)cc3OC2)cc1,IC50,'=',2900,nM,241.25,2.61
CHEMBL327320,Oc1cccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CCCC3)cc2)c1,IC50,'=',40.1,nM,449.57,5.54
CHEMBL91758,Oc1ccc2c(c1)S[C@@H](c1ccccc1O)[C@@H](c1ccc(OCCN3CCCCC3)cc1)O2,IC50,'=',1.1,nM,463.6,5.93
CHEMBL57150,OC[C@@]12CC=C[C@@H](C1)[C@H](c1ccc(O)cc1)CC2,IC50,'=',75,nM,244.33,3.21
CHEMBL189556,Oc1ccc2c(-c3nc4cc(F)c(O)cc4o3)cccc2c1,IC50,'=',46,nM,295.27,4.2
CHEMBL1601001,N#Cc1c(NC(=O)CN2CCN(c3ccccc3)CC2)sc2c1CCC2,IC50,'=',44488.59,nM,366.49,2.87
CHEMBL1389986,CCS(=O)(=O)N1Cc2ccccc2CC1C(=O)N1CCN(c2cccc(C)c2C)CC1,IC50,'=',2961.51,nM,441.6,2.73
CHEMBL1429596,CCOc1ccc(NC2=NC(=O)S/C2=C\c2ccc(OC)cc2)cc1,IC50,'=',99882.43,nM,354.43,4.81
CHEMBL1584646,N#CC1=C(N)OC2=C(CCC/C2=C/c2ccoc2)C1c1ccoc1,IC50,'=',3995,nM,320.35,4.2
CHEMBL1449547,COc1ccc(NC(=O)Nc2ccc(N(C)C)cc2)cc1,IC50,'=',14369.99,nM,285.35,3.41
CHEMBL33890,CCCCCc1cc(O)cc2c1C(=O)[C@@H](c1ccc(O)cc1)[C@@H](c1ccc(OCCN3CCCCC3)cc1)O2,IC50,'=',454,nM,529.68,6.8
CHEMBL363367,Oc1ccc(-c2cc(Cl)c3cc(O)ccc3c2)cc1,IC50,'=',2.3,nM,270.71,4.57
CHEMBL426085,Oc1ccc(-c2ccc3c(Cl)c(O)ccc3c2)cc1Cl,IC50,'=',32,nM,305.16,5.22
CHEMBL191759,C#Cc1cc(O)cc2ccc(-c3ccc(O)c(F)c3)cc12,IC50,'=',1.2,nM,278.28,4.04
CHEMBL191715,Oc1ccc(-c2ccc3ccc(O)cc3c2)cc1,IC50,'=',44,nM,236.27,3.92
CHEMBL188515,OCc1cc(O)cc2nc(-c3ccc(O)cc3)oc12,IC50,'=',1340,nM,257.25,2.4
CHEMBL1200474,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4[C@@H](O)[C@H]3C[C@@H]12,IC50,'=',61.42,nM,501.32,0.26
CHEMBL1407483,CC1=C(SCCC#N)S/C(=C2\SC(C)=C(SCCC#N)S2)S1,IC50,'=',129.07,nM,402.68,6.74
CHEMBL1465890,CCOC(=O)C1CCCN(C(=O)c2ccc(CS(=O)(=O)c3ccc(C)cc3)o2)C1,IC50,'=',13675.64,nM,419.5,2.98
CHEMBL412907,Oc1ccc2c(c1)CCN(c1ccccc1)C2C1CCCCC1,IC50,'=',99,nM,307.44,5.08
CHEMBL1321357,O=C(Nc1cc(C(F)(F)F)ccc1N1CCOCC1)C1Cc2ccccc2CN1C(=O)c1ccco1,IC50,'=',5938.49,nM,499.49,4.34
CHEMBL1507788,Cc1ccc(S(=O)(=O)Cc2ccc(C(=O)N3CCC4(CC3)OCCO4)o2)cc1,IC50,'=',12835.75,nM,405.47,2.54
CHEMBL1509057,O=C(COC(=O)CN1C(=O)c2ccccc2C1=O)Nc1ncc(Cl)cc1Cl,IC50,'=',11060.13,nM,408.2,2.17
CHEMBL1549371,CC(=O)Nc1ccc(OC(=O)CC2SC(=O)NC2=O)cc1,IC50,'=',8534.79,nM,308.31,1.29
CHEMBL1972915,Cc1nn(-c2ccccc2)c(Cl)c1/C=N/Nc1ccc(S(=O)(=O)Nc2ccccc2C(=O)O)cc1[N+](=O)[O-],IC50,'=',7260.54,nM,554.97,4.69
CHEMBL1433062,COc1ccc(OC)c(N2C(=O)[C@@H]3C(c4ccccc4Cl)=NO[C@@H]3C2=O)c1,IC50,'=',2490.5,nM,386.79,2.65
CHEMBL3578284,Cc1nocc1-c1ccc2[nH]c([C@@]3(Cc4ccccc4)OC(=O)N([C@H](C)c4ccc(F)cc4)C3=O)nc2c1,IC50,'=',3000,nM,510.53,5.84
CHEMBL313941,Oc1ccc(C[C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,IC50,'=',308,nM,477.63,5.8
CHEMBL191901,Oc1ccc(-c2cc(F)c3c(Cl)c(O)ccc3c2)cc1F,IC50,'=',2.5,nM,306.69,4.85
CHEMBL179852,CC(C)(COc1ccc([C@@H]2Oc3ccc(O)cc3S[C@@H]2c2ccc(O)cc2)cc1)N1CCCC1,IC50,'=',44,nM,477.63,6.32
CHEMBL190238,CC/N=C1/C(c2ccc(O)cc2)=C(O)c2cc(O)cc(O)c21,IC50,'=',2700,nM,297.31,3.05
CHEMBL371788,CC1=C(c2ccc(O)cc2)C(=O)c2c(O)cc(O)cc21,IC50,'=',2.4,nM,268.27,2.93
CHEMBL191836,O=C1C(c2ccc(O)cc2)=C(c2ccccc2)c2cc(O)cc(O)c21,IC50,'=',3,nM,330.34,3.96
CHEMBL1449293,COc1cccc(C(=O)NC2CC3CCCC(C2)N3CC(=O)Nc2ccccc2)c1,IC50,'=',44594.2,nM,443.98,3.45
CHEMBL1424486,Nc1nc(-c2ccco2)c(-c2ccco2)s1,IC50,'=',101219.63,nM,232.26,3.25
CHEMBL1346172,O=C(NCc1ccccn1)c1ccc2nc(-c3ccco3)c(-c3ccco3)nc2c1,IC50,'=',4900.41,nM,396.41,4.47
CHEMBL28626,O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,IC50,'=',2927.18,nM,302.24,1.99
CHEMBL1390729,O=C(NCC1CCCO1)c1cc(-c2ccco2)nc2ccccc12,IC50,'=',26405.1,nM,322.36,3.4
CHEMBL194772,Oc1ccc(-c2ccc3ccccc3c2)cc1,IC50,'=',245,nM,220.27,4.21
CHEMBL194326,N#Cc1cc(-c2cc(F)c(O)cc2F)cc2ccc(O)cc12,IC50,'=',6.9,nM,297.26,4.07
CHEMBL71585,Oc1ccc2c(c1)S[C@@H](c1ccccc1)[C@@H](c1ccc(OCCN3CCCCC3)cc1)O2,IC50,'=',183,nM,447.6,6.22
CHEMBL195560,Oc1ccc(C2=COc3cc(O)ccc3C2)cc1,IC50,'=',680,nM,240.26,3.07
CHEMBL3576885,C[C@H](c1ccc(F)cc1)N1C(=O)O[C@](Cc2ccccc2)(c2nc3cc(-c4cc[nH]n4)ccc3[nH]2)C1=O,IC50,'=',2600,nM,495.51,5.27
